yj21b,yj6.2,yj10.2,yj13.2,yj1.1.1,yj72.18a
14.0,48.0,9939.913939397557,10000.0,2.0,2.0
28.0,48.0,4572.855882629546,20000.0,2.0,1.0
36.0,30.0,1465.339842448102,18000.0,2.0,2.0
35.0,32.0,3199.962007014287,27000.0,2.0,3.0
20.0,40.0,3654.394807269823,14500.0,2.0,2.0
28.0,40.0,4377.556177247112,17000.0,2.0,2.0
30.0,40.0,2260.2714808092055,20000.0,2.0,3.0
14.0,36.0,13454.961683699688,24000.0,2.0,2.0
25.0,45.0,4054.536320757507,40000.0,2.0,3.0
30.0,30.0,2468.6537592446584,22000.0,2.0,2.0
32.0,48.0,17996.601890375718,19000.0,3.0,2.0
28.0,30.0,5479.992985209376,22105.410436734815,2.0,2.0
31.0,40.0,5534.478039110582,29648.17165330075,2.0,2.0
26.0,30.0,4682.196816580721,14334.62179972531,3.0,2.0
28.0,30.0,3182.4629095881787,9000.0,3.0,2.0
28.0,45.0,5514.257364906469,35000.0,2.0,3.0
14.0,48.0,14479.668529012622,35000.0,2.0,2.0
20.0,48.0,4479.536060070524,25000.0,2.0,3.0
42.0,40.0,5057.3889494904215,20000.0,5.0,2.0
16.0,40.0,1180.198833323527,23000.0,4.0,2.0
28.0,40.0,16609.03725838101,20000.0,2.0,3.0
28.0,40.0,7376.6575707404345,50000.0,2.0,3.0
18.0,40.0,2836.3417787250723,21000.0,2.0,3.0
28.0,36.0,3514.279105124889,12000.0,2.0,2.0
28.0,40.0,5252.215192585583,30625.0,1.0,3.0
28.0,40.0,2769.148123031536,25000.0,2.0,1.0
28.0,40.0,5000.0,60000.0,1.0,3.0
14.0,40.0,19557.911853036265,23000.0,2.0,2.0
28.0,48.0,2647.5888279521687,30000.0,2.0,2.0
32.0,48.0,4792.64175696396,15000.0,2.0,2.0
28.0,48.0,3155.7794899981423,24000.0,2.0,2.0
36.0,40.0,14733.896425681938,19006.302319496786,2.0,3.0
37.0,48.0,5426.556385116025,16111.907073923652,2.0,2.0
14.0,48.0,8200.864604386865,15000.0,3.0,2.0
30.0,36.0,15236.66078522112,17000.0,3.0,2.0
31.0,40.0,6173.950882090902,15000.0,4.0,2.0
30.0,40.0,3754.8695964764815,11000.0,3.0,2.0
29.0,40.0,2734.006482635979,17000.0,2.0,2.0
22.0,45.0,3867.5157741705266,17000.0,3.0,2.0
11.0,45.0,8508.543397830275,25000.0,2.0,2.0
30.0,42.0,17749.902946967486,20000.0,2.0,2.0
28.0,40.0,8000.0,22000.0,2.0,2.0
28.0,40.0,1814.905775602743,25000.0,3.0,2.0
14.0,48.0,6872.02583476833,10000.0,4.0,2.0
28.0,40.0,15740.614196628347,30000.0,1.0,2.0
28.0,40.0,3540.6297706021423,40000.0,1.0,2.0
15.0,60.0,1924.6409920761598,50000.0,1.0,2.0
29.0,40.0,2168.8413570240164,10000.0,3.0,1.0
43.0,40.0,15130.24260192901,30000.0,2.0,2.0
29.0,48.0,4576.5788341167745,10000.0,2.0,1.0
28.0,40.0,4061.1095309585794,15000.0,3.0,2.0
28.0,36.0,6687.370987291539,10000.0,5.0,2.0
28.0,40.0,7616.295002656312,10000.0,4.0,2.0
28.0,48.0,7988.963576115967,10700.0,3.0,2.0
28.0,40.0,3549.937952850585,15000.0,2.0,2.0
39.0,60.0,19491.629800121613,24000.0,4.0,3.0
28.0,40.0,7783.362825704647,40000.0,2.0,3.0
18.0,40.0,18477.307391507187,14000.0,3.0,2.0
32.0,40.0,3700.0,24000.0,2.0,2.0
18.0,40.0,1900.0,27000.0,2.0,3.0
28.0,36.0,19896.88386452751,17000.0,2.0,2.0
22.0,41.0,3089.48286740383,39720.690687695256,2.0,1.0
29.0,40.0,4682.708003405187,14144.991221481872,4.0,2.0
18.0,45.0,7840.944230600219,30000.0,2.0,2.0
32.0,40.0,6511.58695613646,18000.0,2.0,2.0
18.0,48.0,2511.610596433934,15000.0,2.0,3.0
36.0,60.0,2148.677933566146,20000.0,3.0,1.0
43.0,40.0,12287.363883967693,42000.0,1.0,2.0
24.0,40.0,4977.416189771043,25000.0,1.0,1.0
36.0,45.0,3991.0393455103617,23000.0,2.0,2.0
32.0,40.0,16108.983612706572,16843.076017033105,2.0,2.0
28.0,48.0,3229.444351181955,12500.0,3.0,2.0
17.0,48.0,3817.139837696328,30000.0,2.0,2.0
43.0,48.0,850.0702375997191,30000.0,2.0,2.0
41.0,40.0,2927.2840282551715,17000.0,3.0,3.0
30.0,40.0,4526.262175915524,19000.0,2.0,1.0
28.0,60.0,1810.4305019702244,28800.0,2.0,3.0
47.0,40.0,7271.464174989302,13914.125624590248,3.0,2.0
28.0,40.0,5116.497297773084,25000.0,2.0,2.0
48.0,48.0,5495.011382444698,32000.0,3.0,3.0
48.0,50.0,15417.40671690276,25000.0,2.0,3.0
42.0,48.0,3634.2673983828895,36000.0,3.0,2.0
28.0,60.0,3000.0,25000.0,4.0,2.0
48.0,36.0,5594.1470485172,20000.0,2.0,3.0
14.0,40.0,1334.2511045307315,25000.0,2.0,3.0
25.0,40.0,5530.104450230537,32000.0,2.0,3.0
28.0,40.0,829.8548568532838,25000.0,3.0,2.0
28.0,40.0,3431.2880800385246,21000.0,2.0,2.0
28.0,40.0,3148.44322005698,25000.0,2.0,2.0
22.0,40.0,7652.939334122411,19395.328676091936,2.0,2.0
42.0,28.0,1453.3602030931577,20000.0,2.0,2.0
28.0,48.0,9009.459733851329,25000.0,4.0,3.0
25.0,40.0,12764.922884248397,16000.0,2.0,2.0
28.0,40.0,2051.1798160576373,10500.0,3.0,2.0
28.0,40.0,3776.1122386065313,27000.0,3.0,3.0
28.0,40.0,6807.477985138345,30000.0,2.0,3.0
32.0,40.0,1346.9561958392837,40000.0,2.0,3.0
18.0,36.0,4981.221780672568,13000.0,3.0,2.0
24.0,60.0,9117.746847233062,40000.0,2.0,2.0
28.0,41.0,2573.6918545669932,10000.0,3.0,1.0
25.0,48.0,2141.4757178339532,6000.0,3.0,3.0
28.0,48.0,10342.88339036276,33690.2031896743,4.0,2.0
36.0,48.0,877.3959155901741,45000.0,2.0,2.0
34.0,48.0,7440.970786960251,23000.0,2.0,1.0
48.0,48.0,5163.02640236015,23000.0,1.0,2.0
36.0,40.0,5989.14502185578,13400.0,2.0,3.0
36.0,48.0,3466.644331313128,30000.0,2.0,3.0
17.0,48.0,1947.6685501626353,18000.0,2.0,3.0
28.0,48.0,5255.026994619496,18000.0,2.0,1.0
42.0,40.0,2586.548126096145,28500.0,2.0,2.0
36.0,48.0,5400.29281519868,16000.0,2.0,1.0
36.0,48.0,3343.2942403266698,31949.956706526133,2.0,1.0
26.0,48.0,12183.02016817188,16000.0,2.0,1.0
23.0,32.0,10000.0,10469.62996872233,3.0,3.0
28.0,57.0,15927.936965972918,25000.0,2.0,2.0
32.0,48.0,2023.1701993054417,25000.0,2.0,2.0
36.0,40.0,7231.833801260533,23800.0,2.0,2.0
11.0,40.0,6474.1363999614405,14000.0,2.0,2.0
31.0,45.0,8991.076621298516,49706.94733123508,3.0,3.0
14.0,48.0,9689.312938008297,20000.0,3.0,3.0
28.0,40.0,4614.361969379826,16000.0,2.0,3.0
29.0,60.0,549.8755249937383,10000.0,3.0,3.0
28.0,40.0,4557.998307859714,12130.0,1.0,2.0
36.0,40.0,6756.01709406558,25000.0,2.0,2.0
36.0,40.0,9573.404946356388,30000.0,4.0,3.0
36.0,35.0,1408.8957585626347,40000.0,2.0,2.0
25.0,40.0,7374.845757182289,25000.0,2.0,1.0
36.0,48.0,8309.98116029592,25000.0,2.0,2.0
50.0,36.0,1096.5104315349097,50000.0,1.0,3.0
20.0,49.0,1828.1458587545915,36707.271010046075,2.0,2.0
36.0,28.0,9196.470077195241,12635.8093135866,2.0,3.0
50.0,30.0,6221.018574247056,35000.0,2.0,3.0
27.0,40.0,17927.777800233074,9000.0,2.0,3.0
20.0,40.0,7253.969287349862,20000.0,2.0,2.0
36.0,36.0,6586.431781978211,18000.0,2.0,3.0
34.0,36.0,2412.2842830080676,15000.0,2.0,2.0
20.0,48.0,18273.897546902124,32952.43334135316,2.0,2.0
30.0,35.0,7827.247009983592,18000.0,2.0,1.0
37.0,40.0,2662.7411466623303,15000.0,3.0,2.0
28.0,40.0,9000.0,40000.0,1.0,3.0
15.0,40.0,4358.483056236681,16000.0,3.0,3.0
28.0,40.0,5000.0,27000.0,2.0,3.0
28.0,40.0,12161.006424704528,26100.0,2.0,2.0
42.0,35.0,5219.747077906107,20000.0,1.0,2.0
35.0,48.0,2500.0,20000.0,3.0,2.0
28.0,36.0,10157.272801417075,30000.0,2.0,2.0
30.0,40.0,5253.543061321794,20000.0,2.0,2.0
44.0,42.0,10609.375746946933,27000.0,1.0,3.0
44.0,40.0,13342.17678017696,20000.0,3.0,2.0
44.0,44.0,2524.7687416098856,27000.0,3.0,2.0
33.0,52.0,3359.148441474178,28000.0,1.0,1.0
31.0,48.0,4855.4188611123145,25000.0,1.0,2.0
20.0,40.0,1877.6833188694993,31286.693814679264,2.0,1.0
48.0,40.0,2032.2434972121418,28000.0,5.0,3.0
14.0,40.0,12315.083214644786,30000.0,1.0,3.0
28.0,40.0,4123.696487051874,26000.0,2.0,2.0
34.0,40.0,4694.784897620987,30000.0,2.0,2.0
28.0,50.0,5083.995250525216,35000.0,4.0,1.0
25.0,40.0,3960.4592205059475,22483.638562523563,3.0,3.0
14.0,48.0,6000.0,38000.0,1.0,2.0
28.0,40.0,4324.745830783342,50000.0,2.0,3.0
28.0,48.0,6014.743309727812,23000.0,4.0,2.0
28.0,40.0,4070.8432632096346,15000.0,2.0,2.0
28.0,35.0,7138.097677280887,12130.0,1.0,1.0
32.0,48.0,5556.243029138044,8000.0,3.0,2.0
28.0,45.0,15489.325387397963,18000.0,2.0,2.0
50.0,48.0,4980.04918962039,23000.0,3.0,3.0
34.0,36.0,755.6437181918229,8000.0,1.0,2.0
28.0,35.0,6839.212668360968,29000.0,2.0,2.0
25.0,48.0,2812.9766438087368,27000.0,3.0,2.0
42.0,48.0,4276.55402229512,20000.0,3.0,3.0
28.0,48.0,2049.7596568790063,18000.0,4.0,2.0
31.0,40.0,5192.986688149712,24655.683191653083,2.0,2.0
21.0,48.0,932.608100784492,33092.11370348149,2.0,2.0
29.0,40.0,3683.4980953329887,27508.072469411345,1.0,3.0
28.0,40.0,10000.0,25000.0,2.0,3.0
28.0,40.0,7288.230945386806,20000.0,3.0,3.0
28.0,40.0,16598.60871305494,20000.0,2.0,3.0
16.0,40.0,6621.1638601866,50000.0,2.0,3.0
21.0,56.0,2972.633928588983,25000.0,1.0,2.0
25.0,40.0,1419.5421475711041,11000.0,3.0,2.0
28.0,36.0,6315.913791892396,15000.0,2.0,2.0
28.0,48.0,3221.951649727419,10500.0,3.0,2.0
28.0,55.0,4572.496420485631,10000.0,3.0,2.0
28.0,40.0,5000.0,28000.0,2.0,2.0
30.0,40.0,9410.350919467623,23000.0,2.0,3.0
28.0,40.0,2956.0572660628104,32000.0,1.0,2.0
18.0,40.0,1500.0,50636.35300164111,3.0,1.0
23.0,48.0,4243.813380838828,30527.35414531749,2.0,2.0
28.0,40.0,4578.411689697526,16000.0,2.0,2.0
28.0,48.0,2982.250659971761,19000.0,2.0,2.0
28.0,35.0,6152.9448922157,23000.0,2.0,3.0
28.0,36.0,2485.1520983820997,13000.0,2.0,2.0
