,ЗП,Отпуск^3,РабочаяНеделя^3,РабочаяНеделя^2 Образование,ЗП^3,Образование^3,Удовлетворенность
3057,-0.5479033222220616,5.256819816551348e-05,0.06994046404869513,-0.3133265320292908,-0.16447950919461685,-6.28831801086874,2.0
3058,0.10113186109289433,0.14377574027117762,-0.06508429295198004,-0.2986498445377922,0.0010343416156849492,-6.28831801086874,2.0
3059,-0.5479033222220616,5.256819816551348e-05,-0.06508429295198004,0.19866135033130675,-0.16447950919461685,1.8509205058935252,2.0
3060,1.0746846360653284,-1.6370996547372518,-0.06508429295198004,-0.04999424710324272,1.2412038683680975,-0.02949902859476922,1.0
3061,0.2633906569216333,1.031193380907132,-0.06508429295198004,-0.04999424710324272,0.018272631516979825,-0.02949902859476922,2.0
3062,0.8312964423222198,1.031193380907132,-0.06508429295198004,0.19866135033130675,0.5744705446254537,1.8509205058935252,2.0
3063,-0.14225633265021417,5.267249501321835,0.7303773002304058,-0.25059212350946614,-0.0028788220824576016,-0.02949902859476922,4.0
3064,0.6690376464934809,-3.676434300777829,-0.06508429295198004,-0.04999424710324272,0.29946885915129745,-0.02949902859476922,3.0
3065,0.2633906569216333,-0.008709667970844706,0.7303773002304058,0.9957739644718269,0.018272631516979825,1.8509205058935252,3.0
3066,0.10113186109289433,1.450169830220434,-0.18045589541386414,-0.09866958195455111,0.0010343416156849492,-0.02949902859476922,3.0
3067,1.8859786152090232,-0.03507851186110721,1.8439872141716742,1.8462954209142695,6.70826626173955,1.8509205058935252,1.0
3068,-0.38564452639332264,-4.6157012980988785,0.7303773002304058,-0.25059212350946614,-0.057353709845180005,-0.02949902859476922,2.0
3069,-1.3591973013657566,1.031193380907132,-13.085285713891539,-1.7157659498828768,-2.5110046141475086,-0.02949902859476922,4.0
3070,-0.38564452639332264,2.6001943023774747,-0.06508429295198004,-0.04999424710324272,-0.057353709845180005,-0.02949902859476922,2.0
3071,-1.805408989894789,1.450169830220434,-8.374853747423945,-7.611956888095854,-5.884733528756177,-6.28831801086874,2.0
3072,-1.1969385055370176,4.238242897856302,-0.06508429295198004,-0.04999424710324272,-1.7148080571193478,-0.02949902859476922,2.0
3073,-0.14225633265021417,7.799173838666048,1.8439872141716742,-0.4646306357267695,-0.0028788220824576016,-0.02949902859476922,1.0
3074,1.4803316256371757,0.022109560833025253,-0.06508429295198004,-0.04999424710324272,3.2439716667149803,-0.02949902859476922,2.0
3075,1.7237198193802843,3.352820932805574,-0.06508429295198004,0.19866135033130675,5.1215335916453535,1.8509205058935252,2.0
3076,0.2633906569216333,0.022109560833025253,-0.06508429295198004,-0.04999424710324272,0.018272631516979825,-0.02949902859476922,2.0
3077,-0.5479033222220616,0.022109560833025253,-0.06508429295198004,0.19866135033130675,-0.16447950919461685,1.8509205058935252,3.0
3078,-0.7101621180508007,3.352820932805574,-0.06508429295198004,-0.2986498445377922,-0.3581562271137056,-6.28831801086874,2.0
3079,0.2633906569216333,0.022109560833025253,3.7381120838060125,-0.7442247651903717,0.018272631516979825,-0.02949902859476922,2.0
3080,0.34452005483600284,3.352820932805574,-0.06508429295198004,-0.04999424710324272,0.04089248687952967,-0.02949902859476922,2.0
3081,0.2633906569216333,-0.18573817021404895,-0.06508429295198004,-0.04999424710324272,0.018272631516979825,-0.02949902859476922,2.0
3082,-0.22338573056458366,7.799173838666048,8.49625243737634,-7.685340325553346,-0.011147212582348444,-6.28831801086874,2.0
3083,-0.9535503117939091,5.256819816551348e-05,-0.06508429295198004,-0.04999424710324272,-0.8670234373671,-0.02949902859476922,2.0
3084,-0.5479033222220616,5.256819816551348e-05,-0.06508429295198004,-0.2986498445377922,-0.16447950919461685,-6.28831801086874,2.0
3085,0.9124258402365893,0.7018550510477365,-1.800283536789733,-0.4572599644755323,0.759613594408433,-0.02949902859476922,2.0
3086,-1.764844290937604,-1.1808458753906501,-13.085285713891539,-10.249443963774034,-5.496917047083445,-6.28831801086874,3.0
3087,1.0746846360653284,-0.03507851186110721,-0.06508429295198004,-0.04999424710324272,1.2412038683680975,-0.02949902859476922,2.0
3088,-0.9535503117939091,0.004024568061274,0.7303773002304058,-0.25059212350946614,-0.8670234373671,-0.02949902859476922,2.0
3089,0.2633906569216333,5.256819816551348e-05,-0.06508429295198004,-0.2986498445377922,0.018272631516979825,-6.28831801086874,3.0
3090,0.8312964423222198,-1.6370996547372518,-0.18045589541386414,0.39208175987203236,0.5744705446254537,1.8509205058935252,2.0
3091,-0.14225633265021417,-6.948204288455348,-0.18045589541386414,0.39208175987203236,-0.0028788220824576016,1.8509205058935252,2.0
3092,2.6972725943527185,5.256819816551348e-05,-0.06508429295198004,0.19866135033130675,19.623411872012163,1.8509205058935252,2.0
3093,1.8859786152090232,-9.957927965045517,-0.06508429295198004,0.19866135033130675,6.70826626173955,1.8509205058935252,2.0
3094,0.7501670444078503,-9.957927965045517,0.18997376726480647,0.4057498291923092,0.42215695022653554,1.8509205058935252,3.0
3095,0.2633906569216333,-1.6370996547372518,-0.06508429295198004,0.19866135033130675,0.018272631516979825,1.8509205058935252,3.0
3096,0.6690376464934809,0.004024568061274,-0.06508429295198004,0.19866135033130675,0.29946885915129745,1.8509205058935252,2.0
3097,-1.1158091076226482,5.256819816551348e-05,0.7303773002304058,-0.25059212350946614,-1.389215773823647,-0.02949902859476922,2.0
3098,-1.805408989894789,0.7018550510477365,-8.374853747423945,-7.611956888095854,-5.884733528756177,-6.28831801086874,3.0
3099,-1.6999407726061084,-0.008709667970844706,0.7303773002304058,-0.25059212350946614,-4.912486516384962,-0.02949902859476922,2.0
3100,-0.9535503117939091,-0.0005957425484805928,-0.06508429295198004,-0.04999424710324272,-0.8670234373671,-0.02949902859476922,2.0
3101,-0.5479033222220616,-0.18573817021404895,-0.06508429295198004,-0.2986498445377922,-0.16447950919461685,-6.28831801086874,2.0
3102,0.2633906569216333,-4.6157012980988785,-0.06508429295198004,-0.04999424710324272,0.018272631516979825,-0.02949902859476922,2.0
3103,-0.9535503117939091,-0.18573817021404895,-8.374853747423945,-1.2742482896371905,-0.8670234373671,-0.02949902859476922,2.0
3104,-0.7101621180508007,-0.33160759226108893,-0.06508429295198004,-0.2986498445377922,-0.3581562271137056,-6.28831801086874,2.0
3105,1.2369434318940673,-0.33160759226108893,-0.00044845460898603276,-0.010814102792749337,1.892559388588575,-6.28831801086874,3.0
